page_id,section,page_name,url,page_type,market,language,primary_keyword,secondary_keywords,search_intent,buyer_stage,source_cluster,page_role,excluded_keywords,cannibalization_boundary,priority,mapping_status,verification_status,notes,title,meta_description,h1,canonical,robots,schema_type,breadcrumb_parent,primary_internal_link_sources,last_reviewed_date,target_sitemap,exception_directive,delivery_status,source_manifest
HOME-001,HOME,Home,/,Homepage,GLOBAL,EN,malaysia titanium dioxide,titanium dioxide malaysia | malaysia tio2 | titanium dioxide supplier malaysia | malaysia titanium dioxide supplier | malaysia titanium dioxide exporter | export titanium dioxide from malaysia,C,Supplier Search,ORIGIN-01,"Own the broad Malaysia TiO2 and Malaysia supplier proposition; route buyers to markets, products, documents, and RFQ.",country-specific supplier terms | exact grade terms | non-China guide terms | company-proof terms,Home owns broad commercial Malaysia supply intent; About owns origin/manufacturing proof; Market pages own destination-country intent.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Overrides the former Malaysia Origin landing-page mapping in the research snapshot.,Malaysia Titanium Dioxide Supplier | TiO₂ Malaysia,"Explore titanium dioxide grades, applications, destination markets and document request paths through TiO₂ Malaysia for international industrial buyers.",Malaysia Titanium Dioxide for Industrial Buyers,https://tio2products.com/,"index, follow",WebSite|WebPage|Organization|Brand,NONE,GLOBAL_CHROME_LOGO,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/home/07_qa/HOME-001_GATE9_CURRENT_IMPLEMENTATION_MANIFEST_V0.2.md
ABOUT-001,ABOUT,About TiO2 Malaysia,/about/,Trust / company page,GLOBAL,EN,malaysia titanium dioxide manufacturer,malaysia origin titanium dioxide | malaysia-origin titanium dioxide | made in malaysia titanium dioxide | titanium dioxide manufactured in malaysia | malaysia titanium dioxide country of origin | titanium dioxide traceability malaysia,I,Technical Evaluation,ORIGIN-01,"Prove operating entity, Malaysia manufacturing/origin, quality, traceability, and export support.",broad supplier search | destination-market supplier terms | RFQ terms,About owns evidence and corporate trust; Home owns broad commercial Malaysia supply intent; Documents owns document requests.,P1,APPROVED_PRD_V0.3,FACT_EVIDENCE_REQUIRED,Malaysia Origin content is integrated into this page; there is no separate top-level Origin page.,Malaysia Titanium Dioxide Manufacturer | TiO2 Malaysia,"Learn about IKHLAS TITANIUM (MALAYSIA) SDN. BHD., a Malaysia-based rutile TiO2 manufacturer with product documentation and export coordination through Port Klang.",Malaysia-Based Titanium Dioxide Supply for Global Markets,https://tio2products.com/about/,"index, follow",WebPage|BreadcrumbList,HOME-001,HOME-001|GLOBAL_CHROME_PRIMARY_NAV,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/about-contact/05_review/ABOUT-001_GATE5_CURRENT_VISUAL_MANIFEST_V0.3.md
MARKET-000,MARKETS,Markets,/markets/,Navigation hub,GLOBAL,EN,NO_PRIMARY_KEYWORD,EU | United Kingdom | India | Brazil,N,Navigation,MARKET-EU-01 | MARKET-UK-01 | MARKET-IN-01 | MARKET-BR-EN,Route buyers to the four approved market systems.,all country-level supplier keywords,This hub must not compete with individual market pages.,P1,APPROVED_NAVIGATION_HUB,NO_DIRECT_KEYWORD_TARGET,"Indexable navigation hub, but not assigned a standalone acquisition keyword.",Markets for Titanium Dioxide Procurement | TiO2 Malaysia,"Navigate titanium dioxide procurement information for the European Union, United Kingdom, India, and Brazil, with clear guidance on the next review step.",Choose Your Destination Market,https://tio2products.com/markets/,"index, follow",CollectionPage|ItemList|BreadcrumbList,HOME-001,HOME-001|GLOBAL_CHROME_PRIMARY_NAV,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/07_qa/MARKET-000_CURRENT_GATE9_BASELINE_MANIFEST_V0.1.md
MARKET-EU-001,MARKETS,European Union,/markets/european-union/,Market procurement landing page,EU,EN,titanium dioxide supplier europe,tio2 supplier europe | titanium dioxide manufacturer europe | titanium dioxide importer europe | malaysia titanium dioxide europe | non china titanium dioxide europe | titanium dioxide anti dumping europe | titanium dioxide tariff europe | titanium dioxide import europe | titanium dioxide for coatings europe,C,Supplier Search,MARKET-EU-01,"Own Europe/EU supplier intent, EU compliance context, origin documentation, applications, and country-page routing.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Malaysia Titanium Dioxide Supplier for EU Buyers | TiO2 Malaysia,"Evaluate titanium dioxide supply for EU procurement by application, grade, documents, origin and import requirements. Request a quote from TiO2 Malaysia.",Malaysia-Origin Titanium Dioxide for European Union Buyers,https://tio2products.com/markets/european-union/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/07_qa/MARKET-EU-001_CURRENT_GATE9_BASELINE_MANIFEST_V0.21.md
MARKET-EU-DE,MARKETS,Germany,/markets/germany/,Market procurement landing page,GERMANY,EN,titanium dioxide supplier germany,tio2 supplier germany | malaysia titanium dioxide germany,C,Supplier Search,MARKET-EU-02,Own Germany-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier for Germany | TiO2 Malaysia,"Evaluate Malaysia-origin titanium dioxide for coatings, plastics and masterbatch procurement in Germany. Review products, documents, samples and quote inputs.",Titanium Dioxide Supplier for Germany,https://tio2products.com/markets/germany/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/germany/MARKET-EU-DE_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md
MARKET-EU-IT,MARKETS,Italy,/markets/italy/,Market procurement landing page,ITALY,EN,titanium dioxide supplier italy,tio2 supplier italy | malaysia titanium dioxide italy,C,Supplier Search,MARKET-EU-02,Own Italy-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier for Italy | TiO2 Malaysia,"Evaluate Malaysia-origin titanium dioxide for coatings, compound, masterbatch and packaging-printing projects in Italy. Review products, documents and quote inputs.",Titanium Dioxide Supplier for Italy,https://tio2products.com/markets/italy/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/italy/MARKET-EU-IT_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md
MARKET-EU-ES,MARKETS,Spain,/markets/spain/,Market procurement landing page,SPAIN,EN,titanium dioxide supplier spain,tio2 supplier spain | malaysia titanium dioxide spain,C,Supplier Search,MARKET-EU-02,Own Spain-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier for Spain | TiO2 Malaysia,"Explore Malaysia-origin titanium dioxide for your project in Spain. Review product grades and document needs, then request a quote for your requirements.",Titanium Dioxide Supplier for Spain,https://tio2products.com/markets/spain/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/spain/MARKET-EU-ES_CURRENT_GATE_BASELINE_MANIFEST_V0.20.md
MARKET-EU-PL,MARKETS,Poland,/markets/poland/,Market procurement landing page,POLAND,EN,titanium dioxide supplier poland,tio2 supplier poland | malaysia titanium dioxide poland,C,Supplier Search,MARKET-EU-02,Own Poland-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier for Poland | TiO2 Malaysia,"Compare Malaysia-origin titanium dioxide grades for coatings, plastics and masterbatch in Poland. Request product documents or submit a quotation request.",Titanium Dioxide Supplier for Poland,https://tio2products.com/markets/poland/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/poland/MARKET-EU-PL_CURRENT_GATE_BASELINE_MANIFEST_V0.25.md
MARKET-EU-NL,MARKETS,Netherlands,/markets/netherlands/,Market procurement landing page,NETHERLANDS,EN,titanium dioxide supplier netherlands,tio2 supplier netherlands | malaysia titanium dioxide netherlands,C,Supplier Search,MARKET-EU-02,Own Netherlands-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier Netherlands | TiO2 Malaysia,"Explore Malaysia-origin titanium dioxide for coatings, printing inks, plastics and masterbatch projects in the Netherlands, then request documents or a quote.",Titanium Dioxide Supplier for the Netherlands,https://tio2products.com/markets/netherlands/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/netherlands/MARKET-EU-NL_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md
MARKET-EU-BE,MARKETS,Belgium,/markets/belgium/,Market procurement landing page,BELGIUM,EN,titanium dioxide supplier belgium,tio2 supplier belgium | malaysia titanium dioxide belgium,C,Supplier Search,MARKET-EU-02,Own Belgium-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.,Titanium Dioxide Supplier Belgium | TiO2 Malaysia,"Source Malaysia-origin industrial titanium dioxide for coatings and plastics projects in Belgium. Review product information and documents, or request a quote.",Titanium Dioxide Supplier for Belgium,https://tio2products.com/markets/belgium/,"index, follow",WebPage|BreadcrumbList,MARKET-000,MARKET-000|HOME-001,2026-09-13,YES,NONE,CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED,pages/markets/belgium/MARKET-EU-BE_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md
