relation_id,grade,application,application_status,application_source_id,application_source,application_source_type,application_source_date,application_scope,application_conflict,comparison_hold,comparison_hold_reason,application_public_behavior,process,process_status,process_source_id,process_source,process_source_type,process_source_date,process_scope,process_conflict,process_public_behavior,v01_gate1_relation_id,v01_to_v02_crosswalk_action
REL-M350-COAT,M-350,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M350,V01_VERIFIED_RETAINED
REL-M350-PLAS,M-350,Plastics,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,NEW_RELATION_FROM_MYTIO2_BASELINE
REL-M350-MB,M-350,Masterbatch,NO_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M350-INK,M-350,Printing Inks,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-INK-M350,V01_VERIFIED_RETAINED
REL-M350-PAPER,M-350,Paper,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-HOME,https://www.mytio2.com/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-PAPER-ANY (generic;not a direct grade relation),NEW_RELATION_FROM_MYTIO2_BASELINE
REL-M350-SPEC,M-350,Specialty Materials,NO_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,current first-party baseline does not map this grade to this application;not a technical unsuitability statement,none,,,DO_NOT_RENDER,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M350,https://www.mytio2.com/products/m-350/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,V01_NO_PUBLIC_MAPPING_RETAINED
REL-M510-COAT,M-510,Coatings,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,SEL-COAT-M510,V01_PENDING_TO_VERIFIED
REL-M510-PLAS,M-510,Plastics,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,NEW_RELATION_FROM_MYTIO2_BASELINE
REL-M510-MB,M-510,Masterbatch,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,NEW_RELATION_FROM_MYTIO2_BASELINE
REL-M510-INK,M-510,Printing Inks,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral Grade to Review mapping only;no ranking recommendation equivalence or performance implication,none,,,RENDER_NEUTRAL_MAPPING,Chloride,VERIFIED_FOR_PUBLIC_MAPPING,SRC-WEB-M510,https://www.mytio2.com/products/m-510/,approved first-party product baseline,observed 2026-08-30;page publication date unavailable,neutral process classification only;no process superiority or performance implication,none,RENDER_NEUTRAL_CLASSIFICATION,NONE,NEW_RELATION_FROM_MYTIO2_BASELINE
